Category,Subcategory,Title,Brend,Country,Url of Product
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Малина Le'Vital Эмиль ст 2х180г,Эмиль,KZ,/product/4870005354639-kz-yogurt-emil-tvor-desert-s-malinoy-25-200gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.5% Персик FoodMaster ст 110г,Food Master,KZ,/product/4870207313533-kz-yogurt-foodmaster-zhivoy-persik-15-110gr-stak
Молочные продукты и яйца,Йогурт,Десерт творожный 10% с черникой Эмиль ст 200г,Эмиль,KZ,/product/4870005354592-kz-yogurt-emil-tvor-desert-s-chernikoy-10-200gr-stak
Молочные продукты и яйца,Йогурт,Десерт творожный 10% с малиной Эмиль ст 200г,Эмиль,KZ,/product/4870005354585-kz-yogurt-emil-tvor-desert-s-malinoy-10-200gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.5% живой Клубника FoodMaster ст 110г,Food Master,KZ,/product/4870207313366-kz-yogurt-foodmaster-zhivoy-klubnika-15-110gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.5% живой Вишня FoodMaster ст 110г,Food Master,KZ,/product/4870207313540-kz-yogurt-foodmaster-zhivoy-vishnya-15-110gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.7% Классический BioMax ст 125г,Bio Max,RU,/product/4690228036026-kz-bioyogurt-bio-max-klass-27-125gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.4% Цитрусовый микс с киноа и семенами чиа BioMax ст 125г,Bio Max,RU,/product/4690228036163-kz-bioyogurt-bio-max-citrus-mikskinoasemena-lna-24-125gr-stak
Молочные продукты и яйца,Йогурт,Бифидойогурт 2.7% термостатный натуральный Черника Активиа ст 170г,Активиа,RU,/product/4600605021804-kz-bioyogurt-danone-aktivia-termostatnaya-s-chernikoy-27-170gr-stak
Молочные продукты и яйца,Йогурт,Бифидойогурт термостатный натуральный Активиа ст 170г,Активиа,RU,/product/4600605021842-kz-bioyogurt-danone-aktivia-termostatnaya-35-170gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Яблоко-Груша Растишка ст 100г,Растишка,KZ,/product/4870206413876-kz-yogurt-danone-rastishka-yabloko-grusha-3-100gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Яблоко-Груша Растишка к/у 4x100г,Растишка,KZ,/product/4870206413968-kz-yogurt-danone-rastishka-yablokogrusha-3-4100-grup
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Банан Растишка ст 100г,Растишка,KZ,/product/4870206413883-kz-yogurt-danone-rastishka-banan-3-100gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Банан Растишка к/у 4x100г,Растишка,KZ,/product/4870206413975-kz-yogurt-danone-rastishka-banan-3-4100-grup
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Клубника Растишка к/у 4x100г,Растишка,KZ,/product/4870206413951-kz-yogurt-danone-rastishka-klubnika-3-4100-grup
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника Эмиль ст 200г,Эмиль,KZ,/product/4870005354646-kz-yogurt-emil-tvor-desert-s-klubn-25-200gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Голубика-Лаванда Bouquet Epica ст 130г,Epica,RU,/product/4606779763205-kz-yogurt-epica-bouquet-golubikalavanda-48-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Персик-Маракуйя Чудо ст 290г,Чудо,RU,/product/4690228028014-kz-yogurt-chudo-persmarak-25-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника-Земляника Чудо ст 290г,Чудо,RU,/product/4690228027994-kz-yogurt-chudo-klubnzeml-25-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Вишня-Черешня Epica ст 130г,Epica,RU,/product/4606779762604-kz-yogurt-epica-nat-vishnya-chereshnya-48-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Вишня-Черешня Чудо ст 290г,Чудо,RU,/product/4690228027970-kz-yogurt-chudo-vishnyachereshnya-25-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.6% Клубника-Киви Чудо д/п 110г,Чудо,RU,/product/4690228035616-kz-yogurt-chudo-gustoy-klubnika-kivi-4-110gr-dp
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Клубника Epica ст 290г,Epica,RU,/product/4606779762208-kz-yogurt-epica-nat-klubn-48-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 6.3% Кокос-Ваниль Epica ст 290г,Epica,RU,/product/4606779762703-kz-yogurt-epica-nat-kokosvanil-63-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 8.4% греческий натуральный FoodMaster ст 130г,Food Master,KZ,/product/4870207313328-kz-yogurt-foodmaster-grecheskiy-naturalnyy-84-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 7% греческий Ваниль FoodMaster ст 130г,Food Master,KZ,/product/4870207313724-kz-yogurt-foodmaster-grecheskiy-vanil-7-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 7.2% греческий Клубника FoodMaster ст 130г,Food Master,KZ,/product/4870207313335-kz-yogurt-food-master-grecheskiy-klubnika-72-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Персик-Жасмин Bouquet Epica ст 130г,Epica,RU,/product/4606779763304-kz-yogurt-epica-bouquet-perszhasmin-48-130gr-stak
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Экстракт кофе-Красный апельсин-Асаи Tonus Actimel п/бут 100г,Actimel,RU,/product/4600605024928-kz-produkt-kislomolochnyy-actimel-kofekrasnyy-apelsinasai-25-100gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Апельсин-Морковь-Мюсли Simple Epica п/бут 290г,Epica,RU,/product/4606779764905-kz-yogurt-pitevoy-epica-simple-apelsin-morkov-myusli-12-290gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Малина-Базилик Epica п/бут 290г,Epica,RU,/product/4606779782305-kz-yogurt-pitevoy-epica-malinabazilik-25-290ml-pb
Молочные продукты и яйца,Йогурт,Коктейль молочный 4% ультрапастеризованный Ванильный пломбир Grand Cocktail Ehrmann п/бут 260г,Ehrmann,RU,/product/4606779767104-kz-kokteyl-mol-ehrmann-grand-cocktail-so-vkusom-vanil-plombira-4-260ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% для детей от 3лет Мультифрукт Растишка п/бут 150г,Растишка,KZ,/product/4870206414118-kz-yogurt-pitevoy-rastishka-sok-12-multifrukt-150ml-pb
Молочные продукты и яйца,Йогурт,Напиток йогуртный 0.1% стерилизованный С соком персика Нежный Campina п/бут 285г,Campina,RU,/product/4605627008345-kz-napitok-pitevoy-campina-nezhnyy-s-sokom-persika-01-285ml-pb
Молочные продукты и яйца,Йогурт,Напиток йогуртный 0.1% стерилизованный С соком клубники Нежный Campina п/бут 285г,Campina,RU,/product/4605627008321-kz-napitok-pitevoy-campina-nezhnyy-s-sokom-klubn-01-285ml-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный с черникой Легкий Fruttis Campina ст 310г,Campina,RU,/product/4605627007980-kz-yogurt-campina-fruttis-legkiy-chernika-01-310gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный с клубникой Сливочное лакомство Fruttis Campina ст 290г,Campina,RU,/product/4605627006600-kz-yogurt-campina-fruttis-slivoch-lakomstvo-klubn-5-290gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный с персиком Сливочное лакомство Fruttis Campina ст 290г,Campina,RU,/product/4605627006624-kz-yogurt-campina-fruttis-slivoch-lakomstvo-pers-5-290gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный Лесные ягоды Легкий Fruttis Campina ст 310г,Campina,RU,/product/4605627007164-kz-yogurt-campina-fruttis-legkiy-lesnye-yagody-01-310gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный с клубникой Фруктовый Alpenland Ehrmann ст 320г,Ehrmann,RU,/product/4606779667206-kz-produkt-yogurtnyy-ehrmann-alpenland-alpiyskiy-vkus-klubn-03-320gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный с персиком и маракуйей Фруктовый Alpenland Ehrmann ст 320г,Ehrmann,RU,/product/4606779667305-kz-produkt-yogurnyy-ehrmann-alpenland-alpiyskiy-vkus-pers-marak-03-320gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 1.2% пастеризованный С соком абрикоса и манго Нежный Campina ст 320г,Campina,RU,/product/4605627008543-kz-produkt-yogurtnyy-campina-nezhnyy-abrikosmango-12-320gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком клубники Лёгкий Нежный Campina ст 320г,Campina,RU,/product/4605627009540-kz-produkt-yogurtnyy-campina-nezhnyy-legkiy-klubn-01-320gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 3.2% пастеризованный с клубникой Эрмигурт Ehrmann ст 100г,Ehrmann,RU,/product/4606779900600-kz-yogurt-ehrmann-ermigurt-klubnika-32-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный с клубникой Сливочное лакомство Fruttis Campina ст 115г,Campina,RU,/product/4605627003241-kz-yogurt-campina-slivoch-5-klubnpers-115gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% для детей от 3лет пастеризованный с черникой и витаминами Fruttis Campina ст 110г,Campina,RU,/product/4605627008529-kz-yogurt-campina-fruttis-ade-princessa-malinachernika-vitaminy-110gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный С соком малины и земляники Нежный сливочный Campina ст 110г,Campina,RU,/product/4605627011130-kz-produkt-yogurtnyy-campina-nezhnyy-s-sokom-malinyzemlyaniki-5-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% пастеризованный Клубника-Земляника Вкусный перерыв Fruttis Campina ст 175г,Campina,RU,/product/4605627006747-kz-yogurt-campina-fruttis-vkusnyy-pereryv-klubnzeml-25-180gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком лесных ягод Лёгкий Нежный Campina ст 95г,Campina,RU,/product/4605627008048-kz-yogurt-campina-nezhnyy-legkiy-lesnye-yagody-01-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный Клубника-Земляника Эрмигурт Лёгкий Ehrmann ст 100г,Ehrmann,RU,/product/4606779900204-kz-yogurt-ehrmann-ermigurt-legkiy-klubnzeml-03-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 3.2% пастеризованный Персик-Манго Эрмигурт Молочный Ehrmann ст 100г,Ehrmann,RU,/product/4606779900402-kz-yogurt-ehrmann-ermigurt-persikmango-32-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С пюре клубники Нежный Campina ст 110г,Campina,RU,/product/4605627009236-kz-yogurt-campina-nezhnyy-klubn-01-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком банана и клубники Лёгкий Нежный Campina ст 95г,Campina,RU,/product/4605627009601-kz-produkt-yogurtnyy-campina-nezhnyy-legkiy-banan-i-klubn-01-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком клубники Лёгкий Нежный Campina ст 95г,Campina,RU,/product/4605627008024-kz-yogurt-campina-nezhnyy-legkiy-klubn-01-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 1.2% пастеризованный с соком абрикоса Молочная Услада ст 95г,Услада,RU,/product/4606779480409-kz-yogurt-ehrmann-uslada-abrikos-12-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% пастеризованный с клубникой Молочный Alpenland Ehrmann ст 95г,Ehrmann,RU,/product/4606779667800-kz-produkt-yogurtnyy-alpenland-klubnikapersik-mango-25-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2% питьевой со вкусом клубники Food Master т/п 900г,Food Master,KZ,/product/4870207313281-kz-yogurt-pitevoy-foodmaster-so-vkusom-klubn-2-900ml-trx
Молочные продукты и яйца,Йогурт,Биойогурт 3.2% питьевой со вкусом карамели Био-С Имун+ Food Master т/п 900г,Food Master,KZ,/product/4870207314240-kz-bioyogurt-pitevoy-bio-s-imun-karamel-32-900gr-trx
Молочные продукты и яйца,Йогурт,Йогурт 2% питьевой со вкусом лесных ягод Food Master т/п 900г,Food Master,KZ,/product/4870207314196-kz-yogurt-foodmaster-zhivoy-pitevoy-les-yagody-2-900gr-trx
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 2% сладкий Снежок Food Master т/п 900г,Food Master,KZ,/product/4870207313229-kz-napitok-kislomolochnyy-foodmaster-snezhok-2-900ml-rr
Молочные продукты и яйца,Йогурт,Коктейль йогуртный 5.2% со вкусом клубничного мороженого Shake&Go Даниссимо ст 260г,Даниссимо,RU,/product/4600605022962-kz-kokteyl-yogurtnyy-danissimo-shakego-klubn-morozhenoe-52-260ml-stak
Молочные продукты и яйца,Йогурт,Коктейль йогуртный 5.2% Ананасово-кокосовый сорбет Shake&Go Даниссимо ст 260г,Даниссимо,RU,/product/4600605024461-kz-yogurt-kokteyl-danissimo-shakego-ananasovo-kokosovyy-sorbet-52-260gr-stak
